@RELATION mi
@ATTRIBUTE h0           NUMERIC
@ATTRIBUTE h1           NUMERIC
@ATTRIBUTE h2           NUMERIC
@ATTRIBUTE h3           NUMERIC
@ATTRIBUTE h4           NUMERIC
@ATTRIBUTE h5           NUMERIC
@ATTRIBUTE h6           NUMERIC
@ATTRIBUTE h7           NUMERIC
@ATTRIBUTE circularity  NUMERIC
@ATTRIBUTE roundness    NUMERIC
@ATTRIBUTE aspect_ratio NUMERIC
@ATTRIBUTE solidity     NUMERIC
@ATTRIBUTE class        {good, bad}
@DATA
0.11, 0.10, 0.19, 0.09, 0.14, 0.09, 0.17, 0.11, 0.84, 0.81, 1.22, 0.97, bad
0.15, 0.08, 0.15, 0.12, 0.15, 0.08, 0.15, 0.12, 0.00, 0.01, 1.87, 0.01, bad
0.12, 0.10, 0.19, 0.09, 0.12, 0.10, 0.18, 0.09, 0.00, 0.01, 1.09, 0.01, bad
0.16, 0.10, 0.14, 0.10, 0.17, 0.08, 0.17, 0.09, 0.67, 0.82, 1.17, 0.89, bad
0.11, 0.14, 0.16, 0.06, 0.17, 0.10, 0.19, 0.07, 0.74, 0.75, 1.28, 0.93, bad
0.15, 0.10, 0.15, 0.11, 0.13, 0.10, 0.17, 0.09, 0.89, 0.95, 1.05, 0.99, bad
0.19, 0.09, 0.09, 0.12, 0.19, 0.09, 0.10, 0.12, 0.00, 0.01, 1.71, 0.01, bad
0.12, 0.11, 0.14, 0.14, 0.12, 0.11, 0.14, 0.13, 0.00, 0.01, 1.12, 0.01, bad
0.19, 0.09, 0.09, 0.12, 0.19, 0.09, 0.10, 0.12, 0.00, 0.01, 1.71, 0.01, bad
0.15, 0.08, 0.17, 0.09, 0.16, 0.10, 0.13, 0.11, 0.86, 0.96, 1.04, 0.98, bad
0.14, 0.11, 0.13, 0.11, 0.15, 0.10, 0.15, 0.10, 0.83, 0.97, 1.02, 0.96, bad
0.10, 0.12, 0.11, 0.17, 0.10, 0.12, 0.11, 0.17, 0.01, 0.00, 1.50, 0.02, bad
0.19, 0.09, 0.15, 0.10, 0.13, 0.14, 0.11, 0.09, 0.83, 0.85, 1.17, 0.96, bad
0.16, 0.10, 0.15, 0.11, 0.12, 0.12, 0.13, 0.10, 0.81, 0.90, 1.09, 0.95, bad
0.15, 0.09, 0.09, 0.17, 0.15, 0.06, 0.15, 0.13, 0.79, 0.69, 1.41, 0.97, bad
0.12, 0.08, 0.16, 0.11, 0.16, 0.07, 0.15, 0.14, 0.84, 0.78, 1.27, 0.97, bad
0.14, 0.11, 0.14, 0.10, 0.16, 0.10, 0.14, 0.11, 0.86, 0.95, 1.05, 0.98, bad
0.16, 0.09, 0.13, 0.12, 0.15, 0.10, 0.13, 0.11, 0.00, 0.01, 1.43, 0.01, bad
0.15, 0.09, 0.15, 0.11, 0.14, 0.11, 0.13, 0.12, 0.75, 0.92, 1.06, 0.92, bad
0.15, 0.11, 0.15, 0.09, 0.16, 0.11, 0.14, 0.10, 0.80, 0.90, 1.08, 0.95, bad
0.14, 0.09, 0.17, 0.10, 0.15, 0.13, 0.09, 0.14, 0.72, 0.91, 1.06, 0.90, bad
0.12, 0.12, 0.15, 0.11, 0.12, 0.12, 0.14, 0.12, 0.79, 0.93, 1.05, 0.95, bad
0.18, 0.08, 0.10, 0.14, 0.18, 0.05, 0.16, 0.11, 0.71, 0.82, 1.17, 0.93, bad
0.14, 0.08, 0.18, 0.09, 0.15, 0.11, 0.12, 0.13, 0.89, 0.95, 1.05, 0.98, bad
0.13, 0.12, 0.12, 0.14, 0.12, 0.12, 0.12, 0.14, 0.00, 0.02, 1.11, 0.02, bad
0.13, 0.01, 0.25, 0.15, 0.04, 0.11, 0.15, 0.16, 0.71, 0.54, 1.77, 0.96, bad
0.07, 0.15, 0.21, 0.07, 0.07, 0.15, 0.21, 0.07, 0.00, 0.01, 1.62, 0.01, bad
0.17, 0.15, 0.13, 0.07, 0.13, 0.18, 0.12, 0.06, 0.76, 0.62, 1.57, 0.96, bad
0.18, 0.11, 0.08, 0.12, 0.21, 0.10, 0.07, 0.13, 0.37, 0.45, 1.95, 0.82, bad
0.27, 0.09, 0.07, 0.07, 0.27, 0.09, 0.06, 0.07, 0.70, 0.46, 2.14, 0.96, bad
0.14, 0.06, 0.16, 0.17, 0.10, 0.09, 0.13, 0.16, 0.80, 0.62, 1.58, 0.98, bad
0.13, 0.09, 0.18, 0.08, 0.16, 0.12, 0.10, 0.14, 0.85, 0.95, 1.04, 0.98, bad
0.17, 0.16, 0.10, 0.06, 0.17, 0.16, 0.10, 0.06, 0.75, 0.59, 1.69, 0.95, bad
0.09, 0.16, 0.22, 0.03, 0.09, 0.16, 0.21, 0.04, 0.69, 0.48, 2.08, 0.96, bad
0.13, 0.08, 0.21, 0.10, 0.08, 0.14, 0.14, 0.11, 0.69, 0.81, 1.18, 0.90, bad
0.16, 0.12, 0.09, 0.14, 0.13, 0.10, 0.15, 0.10, 0.85, 0.88, 1.12, 0.97, bad
0.20, 0.06, 0.17, 0.10, 0.14, 0.11, 0.12, 0.10, 0.83, 0.90, 1.09, 0.97, bad
0.21, 0.11, 0.12, 0.08, 0.18, 0.13, 0.12, 0.06, 0.78, 0.74, 1.32, 0.95, bad
0.16, 0.10, 0.16, 0.08, 0.15, 0.10, 0.17, 0.08, 0.81, 0.91, 1.08, 0.95, bad
